Type,Status
manufacturer,Done
electronics manufacturer,Not done
food manufacturer,Done
machining manufacturer,Done
portable building manufacturer,Not done
medical equipment manufacturer,Done
tool manufacturer,Not done
furniture manufacturer,Not done
auto parts manufacturer,Not done
chemical manufacturer,Not done
trailer manufacturer,Done
lighting manufacturer,Not done
cosmetic products manufacturer,Not done
medical technology manufacturer,Not done
computer hardware manufacturer,Not done
feed manufacturer,Not done
musical instrument manufacturer,Not done
leather goods manufacturer,Done
jewelry manufacturer,
machinery parts manufacturer,
clothes and fabric manufacturer,
truss manufacturer,
paint manufacturer,
glass manufacturer,
optical products manufacturer,
toy and game manufacturer,
food manufacturing supply,
fabric product manufacturer,
door manufacturer,
sticker manufacturer,
agricultural machinery manufacturer,
ceramic manufacturer,
car manufacturer,
food seasoning manufacturer,
toy manufacturer,
battery manufacturer,
aircraft manufacturer,
knife manufacturing,
cheese manufacturer,
manufactured home transporter,
pottery manufacturer,
frozen food manufacturer,
display stand manufacturer,
tile manufacturer,
plastic resin manufacturer,
brick manufacturer,
alcohol manufacturer,
sportwear manufacturer,
elevator manufacturer,
electrical equipment manufacturer,
cement manufacturer,
ventilating equipment manufacturer,
carpet manufacturer,
tea manufacturer,
fireplace manufacturer,
gasket manufacturer,
olive oil manufacturer,
watch manufacturer,
stationery manufacturer,
boiler manufacturer,
knitwear manufacturer,
glassware manufacturer,
jewellery manufacturer,
tyre manufacturer,
souvenir manufacturer,
steelwork manufacturer,
fur manufacturer,
fmcg manufacturer,
lingerie manufacturer,
idol manufacturer,
clothing manufacturer,
match box manufacturer,
electric utility manufacturer,
willow basket manufacturer,
